id;Станция
st98849475;Коммунарка
st08046181;Ольховая
st25653595;Прокшино
st47991016;Филатов Луг
st07847823;Саларьево
st14824792;Румянцево
st06576402;Тропарёво
st84881329;Юго-Западная
st01330343;Проспект Вернадского
st10615625;Университет
st15485262;Воробьёвы горы
st62244479;Спортивная
st24372556;Фрунзенская
st63562705;Парк культуры
st09785959;Кропоткинская
st97628957;Библиотека имени Ленина
st79973142;Охотный Ряд
st37392265;Лубянка
st71967362;Чистые пруды
st93095765;Красные Ворота
st16809028;Комсомольская
st79163369;Красносельская
st82323711;Сокольники
st44556533;Преображенская площадь
st89300033;Черкизовская
st43942813;Бульвар Рокоссовского
st99655694;Алма-Атинская
st35409060;Красногвардейская
st93896107;Домодедовская
st93091783;Орехово
st56891816;Царицыно
st27502377;Кантемировская
st38125030;Каширская
st31799545;Коломенская
st05913742;Технопарк
st36742054;Автозаводская
st27666339;Павелецкая
st95170220;Новокузнецкая
st27293832;Театральная
st73532673;Тверская
st65666731;Маяковская
st61639901;Белорусская
st40976893;Динамо
st42301162;Аэропорт
st53051395;Сокол
st42116627;Войковская
st13506291;Водный стадион
st38713046;Речной вокзал
st11989360;Беломорская
st42492362;Ховрино
st02963112;Щёлковская
st69472278;Первомайская
st95387045;Измайловская
st36264335;Партизанская
st64974676;Семёновская
st07434113;Электрозаводская
st42377778;Бауманская
st27003709;Курская
st97075371;Площадь Революции
st97447355;Арбатская
st88033734;Киевская
st90434513;Парк Победы
st46329297;Славянский бульвар
st05786744;Кунцевская
st55261951;Молодёжная
st26423483;Крылатское
st97440149;Строгино
st05010804;Мякинино
st58991941;Волоколамская
st98450921;Митино
st88640238;Пятницкое шоссе
st61292060;Кунцевская
st15157717;Пионерская
st54351814;Филёвский парк
st31863871;Багратионовская
st36995787;Фили
st39852273;Кутузовская
st75378881;Студенческая
st46292813;Международная
st43638038;Выставочная
st41435943;Киевская
st61611249;Смоленская
st26071846;Арбатская
st23821145;Александровский сад
st52567621;Белорусская
st35167598;Новослободская
st88578560;Проспект Мира
st25257776;Комсомольская
st58333097;Курская
st31188041;Таганская
st45756040;Павелецкая
st98515780;Добрынинская
st31835388;Октябрьская
st05575296;Парк культуры
st35907222;Киевская
st61777226;Краснопресненская
st08902769;Новоясеневская
st63576528;Ясенево
st15273483;Тёплый Стан
st18527214;Коньково
st67714913;Беляево
st25174961;Калужская
st02669553;Новые Черёмушки
st49043121;Профсоюзная
st26575751;Академическая
st37182397;Ленинский проспект
st65530962;Шаболовская
st09854720;Октябрьская
st33930128;Третьяковская
st43664663;Китай-город
st25772919;Тургеневская
st30779344;Сухаревская
st31355012;Проспект Мира
st06975965;Алексеевская
st72950287;ВДНХ
st31259398;Ботанический сад
st93131719;Свиблово
st56273671;Бабушкинская
st26948675;Медведково
st92859572;Котельники
st03033639;Жулебино
st52342304;Лермонтовский проспект
st93969014;Выхино
st09774188;Рязанский проспект
st37777364;Кузьминки
st09865288;Текстильщики
st47395218;Волгоградский проспект
st65740476;Пролетарская
st56233634;Таганская
st01145791;Китай-город
st02243990;Кузнецкий Мост
st20392592;Пушкинская
st41059590;Баррикадная
st25864387;Улица 1905 года
st78271731;Беговая
st99670123;Полежаевская
st45202123;Октябрьское Поле
st85925757;Щукинская
st82613979;Спартак
st90181899;Тушинская
st50955259;Сходненская
st39588621;Планерная
st96887649;Новокосино
st51474087;Новогиреево
st32482388;Перово
st34086095;Шоссе Энтузиастов
st51492355;Авиамоторная
st96029844;Площадь Ильича
st46767674;Марксистская
st61365489;Третьяковская
st13083728;Рассказовка
st89877855;Новопеределкино
st75173436;Боровское шоссе
st20493304;Солнцево
st96068657;Говорово
st03108971;Озёрная
st38193962;Мичуринский проспект
st83336771;Раменки
st21193358;Ломоносовский проспект
st40410715;Минская
st17001462;Парк Победы
st60259223;Шелепиха
st16575549;Хорошёвская
st16720381;ЦСКА
st70830493;Петровский парк
st23331215;Савёловская
st28176206;Алтуфьево
st19241529;Бибирево
st99850240;Отрадное
st79876972;Владыкино
st64456800;Петровско-Разумовская
st20821541;Тимирязевская
st97054999;Дмитровская
st43618334;Савёловская
st22563179;Менделеевская
st66212131;Цветной бульвар
st20386865;Чеховская
st53446417;Боровицкая
st29322650;Полянка
st78934871;Серпуховская
st35784298;Тульская
st38386919;Нагатинская
st08228301;Нагорная
st17146105;Нахимовский проспект
st12113512;Севастопольская
st04927476;Чертановская
st99715743;Южная
st82168372;Пражская
st86293103;Улица Академика Янгеля
st44270245;Аннино
st20757637;Бульвар Дмитрия Донского
st55580787;Зябликово
st97360792;Шипиловская
st17140069;Борисово
st58422918;Марьино
st03530007;Братиславская
st85415363;Люблино
st46100208;Волжская
st26489114;Печатники
st38979773;Кожуховская
st02355686;Дубровка
st80166830;Крестьянская Застава
st27875586;Римская
st82349419;Чкаловская
st57688244;Сретенский бульвар
st12918074;Трубная
st24816161;Достоевская
st44317896;Марьина Роща
st76774040;Бутырская
st78967689;Фонвизинская
st66323569;Петровско-Разумовская
st00961456;Окружная
st88725290;Верхние Лихоборы
st88616952;Селигерская
st41274700;Деловой центр
st60259223;Шелепиха
st16575549;Хорошёвская
st16720381;ЦСКА
st70830493;Петровский парк
st23331215;Савёловская
st45748336;Бунинская Аллея
st82035329;Улица Горчакова
st26941611;Бульвар Адмирала Ушакова
st10620942;Улица Скобелевская
st26753929;Улица Старокачаловская
st24880476;Лесопарковая
st64434032;Битцевский парк
st88449201;Некрасовка
st24741970;Лухмановская
st16544387;Улица Дмитриевского
st42452180;Косино
st75178188;Юго-Восточная
st93560112;Окская
st68759038;Стахановская
st14282584;Нижегородская
st53774145;Авиамоторная
st05436068;Лефортово
